;Open;Close;High;Low;Vol;Log_returns;Amihud;LHH;LIX;VAR;VAR_21;MACD;EMA_21;MA_21
2020-12-08;1640.0;1663.7;1672.6;1663.7;-0.055555634569025014;0.014347795847453604;5.1305694856719045e-08;9.02917590485846;8.394917748687014;0.0044206449266510055;0.017277228085070952;-1.6938780637442505;-0.0002691484731863758;-0.002803213286603712
2020-12-09;1654.6;1646.6;1672.0;1646.6;-0.22214793096334173;-0.0048467318917566615;8.403387428210987e-08;9.730409059039435;7.825884144420245;0.004284591918056853;0.016197499245724202;-1.650193253059797;-0.001176621216264384;-0.0019474614368319987
2020-12-10;1641.1;1642.7;1656.0;1642.7;-0.29795657603066583;0.0009744808615721468;7.92684091480889e-08;12.244825419997742;7.952200341811314;0.0033000160499996527;0.016122121836926497;-1.6145641085829538;-0.0012836989534682486;-0.0016618673084911606
2020-12-11;1646.9;1639.7;1649.6;1639.7;0.046710145327192976;-0.004381434624339597;4.435127326620694e-08;7.062855271649725;8.099449361332143;0.0021148891110696986;0.015978714816456765;-1.5834590614026638;-0.0013323888502954073;-0.0021238430078209802
2020-12-14;1635.0;1598.6;1638.0;1598.6;1.3777486804094647;-0.02251455813943526;4.7974392049994005e-08;8.032071342777142;7.864729695394081;0.0041623976207714256;0.01637174827326098;-1.6649450093316318;-0.0034611644774642514;-0.003839682471202366
2020-12-15;1615.9;1623.6;1632.5;1623.6;-0.27735387141648615;0.0047538289865407535;4.382076434121735e-08;8.751990481309615;8.376500824970456;0.003517291388459426;0.016287152398330458;-1.6538791812977252;-0.001785121285051594;-0.002725566623357878
2020-12-16;1627.0;1637.7;1642.9;1637.7;-0.3693735754977564;0.006554990236783631;3.982989488805481e-08;11.064401264618636;8.413414958957219;0.0019356182103393638;0.01628969733584667;-1.5948264554494926;-0.0008503668901723715;-0.001693659056298924
2020-12-17;1652.3;1705.9;1719.2;1705.9;2.122177363963379;0.031924574029527975;4.587016381591033e-08;8.828890157390251;8.517743452530665;0.0071868831267424054;0.017857047920212313;-1.3409647156622668;0.0029798578356547978;1.740033234631788e-05
2020-12-18;1697.7;1679.6;1705.4;1679.6;-0.4310667666040435;-0.010718724006549607;6.525358101284251e-08;7.688666357657724;7.9782889874819825;0.002900176999184678;0.017966427394370914;-1.191276820028179;0.0012577202297199275;-0.00041760070992125087
2020-12-21;1720.0;1691.1;1739.0;1691.1;0.6740148524100775;-0.016945086051859626;4.107896382912922e-08;8.73583549243673;7.936295910482346;0.005112046572390078;0.018306903164846705;-1.0237870128191844;0.001772207103972745;-0.00010154257680239365
2020-12-22;1680.1;1685.9;1707.7;1685.9;-0.6124200337526247;0.0034462303863991295;7.576227660483975e-08;11.104401324801465;7.865198771974951;0.003466359398793912;0.016992521040480754;-0.8896146020263132;0.0013237636542124953;0.0011635059539008008
2020-12-23;1691.9;1699.6;1707.0;1699.6;-0.363113942236188;0.004540771475905814;9.162298281146423e-08;12.514421224609448;8.142000199345059;0.0022616560990200807;0.01666357127811428;-0.7308369597417368;0.001950344488039546;0.0026778805329097377
2020-12-24;1704.0;1696.3;1706.1;1696.3;-0.32276672811197293;-0.004529019887583807;9.223942686841545e-08;9.992841718183191;7.8499000695264565;0.002124276614784475;0.016612264015827303;-0.6003669694141536;0.0015896411215199358;0.003136082873519186
2020-12-25;1696.3;1693.0;1698.9;1693.0;-0.5870028808577032;-0.0019473053685414854;8.517762663022121e-08;24.966485973531192;7.68537545185036;0.0015575526946550718;0.015737108233890993;-0.4948349721576051;0.0012631722879419272;0.0018066144563733122
2020-12-28;1703.5;1689.8;1713.0;1689.8;2.632235295510934;-0.008074779382276631;6.681445495088525e-08;15.70754191277074;7.650091800542447;0.0028223624805346725;0.015685844049888376;-0.4109339205301694;0.0009728914147411061;0.002295180982786027
2020-12-29;1689.1;1734.2;1749.0;1734.2;1.3032926258679072;0.02635036925676104;5.523022173803665e-08;12.127721645999891;8.218931063326922;0.0038406925256679577;0.016648911773631297;-0.21038638967775114;0.0032954671536391533;0.004051847579365386
2020-12-30;1737.0;1735.1;1758.0;1735.1;-0.049205077425501176;-0.0010944386334790224;4.622279945041648e-08;6.365007854375447;8.00766947812972;0.003244516220861541;0.013522475115766172;-0.035215358238929184;0.003034767713679498;0.001677646150987977
2021-01-04;1756.5;1831.2;1858.0;1831.2;0.5212059943885425;0.041648296932475404;5.391894691771121e-08;14.171117064151655;8.144969464421624;0.006978461699036534;0.01638347443960461;0.3884933031520177;0.00793795099599559;0.004684976689244946
2021-01-05;1830.4;1853.5;1869.8;1853.5;-0.04793021285841592;0.012541221405308;3.265803822703626e-08;9.650259183071764;8.344842248276738;0.008072277332916596;0.016338135538818358;0.8119565846648129;0.008353747637103615;0.0055804205336755786
2021-01-06;1845.0;1841.9;1856.2;1841.9;-0.291868989739027;-0.001681629949570329;3.540952653582202e-08;7.554414606289773;8.24908088603436;0.0028723320208964317;0.015370712676308625;1.1362160470137042;0.006915317688555245;0.0060408541355421175
2021-01-08;1831.3;1783.0;1855.0;1783.0;0.8016125566891779;-0.0267287582837632;4.699327646706672e-08;10.111083688736631;7.788631122437804;0.008738818062995753;0.01670213612751419;1.239080453311999;0.0031367466815621636;0.004207979159414732
2021-01-11;1785.9;1761.0;1805.2;1761.0;-0.21330950903684842;-0.014040660331247956;3.9592435999668944e-08;7.311438598633066;7.890953263024836;0.004364253084151686;0.016807833782385997;1.2572603991320648;0.0016858911387962472;0.002719951247739383
